timetweet,favcount,retwcount,id,name,text_clean,text_preprocessed,polarity_score,polarity
2022-11-29 11:40:17,0,1033,1597556048956911616,Hazirahhadi1,alakri saya tak pandai ulas tapi saya cuaxexxannsaya merasa terharu kerana tidak menyangka samutan masyarakat dunia yang hadir kexexxa,"['alakri', 'pandai', 'ulas', 'cuaxexxannsaya', 'haru', 'rana', 'sangka', 'samutan', 'masyarakat', 'dunia', 'hadir', 'kexexxa']",2,positive
2022-11-29 11:40:00,0,0,1597555975304761347,Bolanet,profil tim dan daftar pemain timnas qatar di piala dunia,"['profil', 'tim', 'daftar', 'main', 'timnas', 'qatar', 'piala', 'dunia']",-7,negative
2022-11-29 11:39:58,0,213,1597555966098411521,skycasthe_,xexcxa rekomendasi dress wanita xexcxanna threadnnxexxa tag  rans entertaiment rafi ahmad ronaldo piala dunia shopeeku cxexxa,"['xexcxa', 'rekomendasi', 'dress', 'wanita', 'xexcxanna', 'threadnnxexxa', 'tag', 'rans', 'entertaiment', 'rafi', 'ahmad', 'ronaldo', 'piala', 'dunia', 'shopeeku', 'cxexxa']",2,positive
2022-11-29 11:39:47,0,0,1597555921412313088,woroinoy,instagram kapten timnas korsel dianjiri komentar keencian usai kalah dari ghana di piala dunia    n,"['instagram', 'kapten', 'timnas', 'korsel', 'anjir', 'komentar', 'keencian', 'kalah', 'ghana', 'piala', 'dunia', 'n']",-7,negative
2022-11-29 11:39:33,0,122,1597555864311066627,xleanxyz,xexaxd give awayxexaxdnhadiah r untuk  org masingxcx rnnteak skor piala dunianxfxfxxaexfxfxx iran vs usa xfxfxxaxfxfxxnn follow etakopitesn folxexxa,"['xexaxd', 'give', 'awayxexaxdnhadiah', 'r', 'org', 'masingxcx', 'rnnteak', 'skor', 'piala', 'dunianxfxfxxaexfxfxx', 'iran', 'vs', 'usa', 'xfxfxxaxfxfxxnn', 'follow', 'etakopitesn', 'folxexxa']",0,neutral
2022-11-29 11:39:24,0,1,1597555823886348288,Ic8558730Indah,situs nonton piala dunia qatar  live streaming gratis teraiknlink xfxfxx  gratis tanpa dixexxa,"['situs', 'nonton', 'piala', 'dunia', 'qatar', 'live', 'streaming', 'gratis', 'teraiknlink', 'xfxfxx', 'gratis', 'dixexxa']",10,positive
2022-11-29 11:39:11,0,0,1597555769943396352,awbagsdie08,udah mulai masuk tahuntahun apek orolan di kantor atau makan siang nih gegara ngorolin politik udah gw elokin ngorolin ola piala dunia eh alik lagi ngorolin pdipnnhadehhhhh,"['udah', 'masuk', 'tahuntahun', 'apek', 'orolan', 'kantor', 'makan', 'siang', 'nih', 'gegara', 'ngorolin', 'politik', 'udah', 'gw', 'elokin', 'ngorolin', 'ola', 'piala', 'dunia', 'eh', 'alik', 'ngorolin', 'pdipnnhadehhhhh']",-12,negative
2022-11-29 11:39:09,0,2,1597555760283914241,bjorwi_ngaciro,ronaldo jadi orang pertama yg mencetak goal di  piala dunia yg ereda,"['ronaldo', 'orang', 'yg', 'cetak', 'goal', 'piala', 'dunia', 'yg', 'ereda']",-1,negative
2022-11-29 11:39:08,0,0,1597555756710100994,redaksidetail,saat ini timnas ekuador erada di urutan kedua klasemen sementara grup a dan mengemas  poin sementara senegal ada di urutan ketiga dengan koleksi  poin,"['timnas', 'ekuador', 'erada', 'urut', 'klasemen', 'grup', 'a', 'emas', 'poin', 'senegal', 'urut', 'tiga', 'koleksi', 'poin']",1,positive
2022-11-29 11:38:58,0,6,1597555716658589698,kenawhykamu,fifa ketat anget ngasih aturan trademark soal pildun ini jangankan nulis lengkap cuma sekedar kata piala dunia ajaxexxa,"['fifa', 'ketat', 'anget', 'ngasih', 'atur', 'trademark', 'pildun', 'nulis', 'lengkap', 'dar', 'piala', 'dunia', 'ajaxexxa']",-4,negative
2022-11-29 11:38:54,0,0,1597555698673807361,Doneh,pitch invander ada dimana selevel piala dunia pun ada ahkan menyuarakan hal yg tidak erkaitan dengan sepakola itu sendiri egitulah sepakola yg dalam sejarahnya juga kerap dipakai untuk menyampaikan pesan sampe propaganda,"['pitch', 'invander', 'mana', 'level', 'piala', 'dunia', 'ahkan', 'suara', 'yg', 'erkaitan', 'sepakola', 'egitulah', 'sepakola', 'yg', 'sejarah', 'kerap', 'pakai', 'pesan', 'sampe', 'propaganda']",-1,negative
2022-11-29 11:38:41,0,0,1597555645846556673,idntimes,pemain liverpool yang mampu raih trofi piala dunia,"['main', 'liverpool', 'raih', 'trofi', 'piala', 'dunia']",1,positive
2022-11-29 11:38:37,0,86,1597555626149699585,mnaufalas,saewad kenapa anda menolak menggunakan an kapten lgtnncr  nsaya mengikuti aturan qatar seagai tuan rumah piala dunia xexxa,"['saewad', 'tolak', 'an', 'kapten', 'lgtnncr', 'nsaya', 'ikut', 'atur', 'qatar', 'aga', 'tuan', 'rumah', 'piala', 'dunia', 'xexxa']",-5,negative
2022-11-29 11:38:34,1,0,1597555614221496320,gilabolacom,kontroversi gol cristiano ronaldo atau runo fernandes gol siapa seenarnya,"['kontroversi', 'gol', 'cristiano', 'ronaldo', 'runo', 'fernandes', 'gol', 'seenarnya']",2,positive
2022-11-29 11:38:19,0,14,1597555553857069061,sweetjen0,pumpkinpies xcx jersey ola piala dunia qatar  xcx nna thread,"['pumpkinpies', 'xcx', 'jersey', 'ola', 'piala', 'dunia', 'qatar', 'xcx', 'nna', 'thread']",-1,negative
2022-11-29 11:38:06,0,0,1597555499435962368,Shinoa_hiiragii,katanya piala dunia kali ini sepi dan gak asik sinting eti,"['piala', 'dunia', 'kali', 'sepi', 'gak', 'asik', 'sinting', 'eti']",-5,negative
